X,Result_SIN
-0.483185,-0.4646021755
-0.433185,-0.4197640164
-0.383185,-0.3738766643
-0.333185,-0.3270548147
-0.283185,-0.2794154982
-0.233185,-0.2310777957
-0.183185,-0.1821625056
-0.133185,-0.1327919090
-0.083185,-0.0830894028
-0.033185,-0.0331792162
0.016815,0.0168139005
0.066815,0.0667649915
0.116815,0.1165492049
0.166815,0.1660421066
0.216815,0.2151199926
0.266815,0.2636601824
0.316815,0.3115413634
0.366815,0.3586438532
0.416815,0.4048499196
0.466815,0.4500440709
0.516815,0.4941133439
0.566815,0.5369476025
0.616815,0.5784397645
0.666815,0.6184861285
0.716815,0.6569865994
0.766815,0.6938449463
0.816815,0.7289690428
0.866815,0.7622710975
0.916815,0.7936678734
0.966815,0.8230808789
1.016815,0.8504366204
1.066815,0.8756667132
1.116815,0.8987080951
1.166815,0.9195031746
1.216815,0.9379999747
1.266815,0.9541522628
1.316815,0.9679196663
1.366815,0.9792677734
1.416815,0.9881682340
1.466815,0.9945987793
1.516815,0.9985433458
1.566815,0.9999920739
1.616815,0.9989413429
1.666815,0.9953937789
1.716815,0.9893582491
1.766815,0.9808498395
1.816815,0.9698898167
1.866815,0.9565055755
1.916815,0.9407305565
1.966815,0.9226042100
2.016815,0.9021718333
2.066815,0.8794844969
2.116815,0.8545989071
2.166815,0.8275772650
2.216815,0.7984871105
2.266815,0.7674011538
2.316815,0.7343970935
2.366815,0.6995574223
2.416815,0.6629692210
2.466815,0.6247239540
2.516815,0.5849171932
2.566815,0.5436484442
2.616815,0.5010208572
2.666815,0.4571409790
2.716815,0.4121184867
2.766815,0.3660659129
2.816815,0.3190983652
2.866815,0.2713332381
2.916815,0.2228899196
2.966815,0.1738894930
3.016815,0.1244544233
3.066815,0.0747082901
3.116815,0.0247754250
3.166815,-0.0252193658
3.216815,-0.0751511213
3.266815,-0.1248950383
3.316815,-0.1743267829
3.366815,-0.2233228014
3.416815,-0.2717606295
3.466815,-0.3195191978
3.516815,-0.3664791349
3.566815,-0.4125230655
3.616815,-0.4575358935
3.666815,-0.5014051278
3.716815,-0.5440211104
3.766815,-0.5852773235
3.816815,-0.6250706480
3.866815,-0.6633016213
3.916815,-0.6998746860
3.966815,-0.7346984282
4.016815,-0.7676858068
4.066815,-0.7987543705
4.116815,-0.8278264640
4.166815,-0.8548294220
4.216815,-0.8796957511
4.266815,-0.9023633103
4.316815,-0.9227754221
4.366815,-0.9408810759
4.416815,-0.9566350171
4.466815,-0.9699978690
4.516815,-0.9809362315
4.566815,-0.9894227644
4.616815,-0.9954362558
4.666815,-0.9989616752
4.716815,-0.9999902109
4.766815,-0.9985192921
4.816815,-0.9945525955
4.866815,-0.9881000359
4.916815,-0.9791777287
4.966815,-0.9678079970
5.016815,-0.9540192492
5.066815,-0.9378459501
5.116815,-0.9193285244
5.166815,-0.8985132562
5.216815,-0.8754521726
5.266815,-0.8502029144
5.316815,-0.8228285915
5.366815,-0.7933976254
5.416815,-0.7619835782
5.466815,-0.7286649685
5.516815,-0.6935250754
5.566815,-0.6566517427
5.616815,-0.6181371128
5.666815,-0.5780774622
5.716815,-0.5365729190
5.766815,-0.4937272230
5.816815,-0.4496474662
5.866815,-0.4044438249
5.916815,-0.3582292849
5.966815,-0.3111193584
6.016815,-0.2632317957
6.066815,-0.2146862909
6.116815,-0.1656041825
6.166815,-0.1161081502
6.216815,-0.0663218969
6.266815,-0.0163698826
